Actual Values,Predicted Values
2.3,4.072202166064982
4.4,4.072202166064982
2.9,4.072202166064982
4.7,4.072202166064982
3.9,4.072202166064982
4.0,4.072202166064982
4.1,4.072202166064982
4.5,4.072202166064982
3.6,4.072202166064982
4.3,4.072202166064982
4.0,4.072202166064982
4.1,4.072202166064982
4.3,4.072202166064982
4.2,4.072202166064982
4.3,4.072202166064982
4.3,4.072202166064982
3.5,4.072202166064982
3.6,4.072202166064982
3.8,4.072202166064982
4.3,4.072202166064982
3.9,4.072202166064982
3.7,4.072202166064982
3.8,4.072202166064982
4.0,4.072202166064982
3.6,4.072202166064982
3.9,4.072202166064982
5.0,4.072202166064982
4.1,4.072202166064982
3.9,4.072202166064982
3.7,4.072202166064982
4.2,4.072202166064982
4.3,4.072202166064982
4.2,4.072202166064982
4.1,4.072202166064982
3.4,4.072202166064982
4.5,4.072202166064982
4.3,4.072202166064982
4.1,4.072202166064982
4.1,4.072202166064982
3.7,4.072202166064982
4.1,4.072202166064982
3.8,4.072202166064982
4.2,4.072202166064982
4.0,4.072202166064982
4.2,4.072202166064982
4.1,4.072202166064982
3.7,4.072202166064982
4.8,4.072202166064982
4.1,4.072202166064982
3.9,4.072202166064982
3.7,4.072202166064982
4.3,4.072202166064982
4.7,4.072202166064982
3.7,4.072202166064982
4.2,4.072202166064982
4.7,4.072202166064982
4.3,4.072202166064982
3.7,4.072202166064982
4.3,4.072202166064982
4.2,4.072202166064982
4.2,4.072202166064982
4.1,4.072202166064982
2.7,4.072202166064982
3.7,4.072202166064982
3.8,4.072202166064982
3.9,4.072202166064982
4.1,4.072202166064982
4.3,4.072202166064982
4.4,4.072202166064982
3.1,4.072202166064982
