Actual Values,Predicted Values
3.1,4.044540229885057
3.9,4.044540229885057
4.3,4.044540229885057
4.0,4.044540229885057
4.2,4.044540229885057
4.0,4.044540229885057
4.1,4.044540229885057
4.0,4.044540229885057
4.1,4.044540229885057
2.5,4.044540229885057
4.3,4.044540229885057
4.0,4.044540229885057
4.3,4.044540229885057
2.9,4.044540229885057
4.0,4.044540229885057
2.5,4.044540229885057
2.5,4.044540229885057
3.8,4.044540229885057
4.0,4.044540229885057
4.2,4.044540229885057
4.1,4.044540229885057
4.3,4.044540229885057
4.1,4.044540229885057
3.7,4.044540229885057
4.1,4.044540229885057
4.6,4.044540229885057
4.3,4.044540229885057
3.8,4.044540229885057
3.7,4.044540229885057
3.5,4.044540229885057
3.7,4.044540229885057
5.0,4.044540229885057
4.2,4.044540229885057
4.0,4.044540229885057
4.1,4.044540229885057
2.0,4.044540229885057
4.3,4.044540229885057
4.1,4.044540229885057
4.4,4.044540229885057
4.7,4.044540229885057
4.2,4.044540229885057
4.5,4.044540229885057
4.3,4.044540229885057
4.3,4.044540229885057
4.1,4.044540229885057
4.1,4.044540229885057
4.1,4.044540229885057
4.4,4.044540229885057
3.5,4.044540229885057
4.0,4.044540229885057
3.9,4.044540229885057
4.0,4.044540229885057
2.5,4.044540229885057
4.6,4.044540229885057
4.0,4.044540229885057
3.5,4.044540229885057
4.3,4.044540229885057
4.2,4.044540229885057
4.4,4.044540229885057
4.7,4.044540229885057
4.2,4.044540229885057
4.0,4.044540229885057
4.0,4.044540229885057
3.9,4.044540229885057
4.0,4.044540229885057
3.8,4.044540229885057
3.9,4.044540229885057
3.7,4.044540229885057
4.2,4.044540229885057
4.7,4.044540229885057
4.1,4.044540229885057
3.9,4.044540229885057
3.9,4.044540229885057
3.1,4.044540229885057
4.2,4.044540229885057
4.6,4.044540229885057
3.9,4.044540229885057
4.2,4.044540229885057
4.3,4.044540229885057
3.8,4.044540229885057
4.7,4.044540229885057
4.6,4.044540229885057
3.7,4.044540229885057
4.7,4.044540229885057
4.2,4.044540229885057
4.0,4.044540229885057
4.1,4.044540229885057
4.2,4.044540229885057
