,Models,Train R2 Score,Test R2 Score,MSE,RMSE,MAE
0,Linear Regression,0.28851363561501797,0.4368656282850685,0.11242460567069686,0.3352977865580041,0.2211142911309453
1,Ridge,0.28777794873435014,0.4375806412226514,0.11228185990415376,0.33508485478182054,0.21999045567461378
2,Lasso,0.0,-0.020280776388688082,0.20368968708050414,0.45131993871366255,0.31746260959257344
3,Decision Tree,1.0,-0.6171900556100756,0.32285714285714295,0.5682051943243241,0.32857142857142857
4,KNeighboursRegressor,0.370415748562525,0.27913395485770376,0.11242460567069686,0.3352977865580041,0.2211142911309453
5,RandomForestRegressor,0.8423995525514085,0.08922031403336539,0.18182880000000012,0.426413883451278,0.24057142857142863
6,Gradient Boosting,0.86988490033985,-0.031688356858327715,0.20596710575777358,0.45383598993223706,0.25222171700015283
7,XGBoosting,0.9905417561531067,-0.18655645847320557,0.23688507080078125,0.4867084042841065,0.2619899809360504
