Model,Train R2,Test R2,MAE,RMSE,Selected
Decision Tree,0.3964007857830547,0.4351536529228246,0.24385814772168396,0.33580706637821983,False
Lasso,0.2659982622391954,0.3574362863757662,0.2283781143178226,0.3581646888370615,True
Random Forest,0.4752915369450328,0.3426513625892591,0.23084724446694216,0.36226180944699776,False
Ridge,0.25313345726502456,0.340583069748449,0.23932419503285557,0.36283127518855723,False
Gradient Boosting,0.5072228922827978,0.2846129214838836,0.24501446936493818,0.37791594349062513,False
KNN,0.28869625790817377,0.26389667741483247,0.2510204081632653,0.38334875534110496,False
XGBoost,0.704586638833895,0.02728824850180045,0.2601593283244542,0.44067331223879436,False
