,Models,Train R2 Score,Test R2 Score,MSE,RMSE,MAE
0,Linear Regression,0.6694306010692708,0.3965801981810366,0.166887964197286,0.4085192335708149,0.28178891929009126
1,Ridge,0.6692691134527808,0.410227098168772,0.1631136376841491,0.4038732940962414,0.27576022513649995
2,Lasso,0.0,-0.008711726709619949,0.2789796523498961,0.5281852443507827,0.3424177115987461
3,Decision Tree,1.0,0.22960555804571936,0.21306818181818182,0.46159309117249775,0.23977272727272736
4,KNeighboursRegressor,0.6452607867577668,0.4134648139847601,0.166887964197286,0.4085192335708149,0.28178891929009126
5,RandomForestRegressor,0.9319872718298491,0.6291302256088454,0.10257154545454536,0.32026792760834694,0.2019999999999997
6,Gradient Boosting,0.8931484336542783,0.6096572274951343,0.10795719737087049,0.32856840592313574,0.21512897369520587
7,XGBoosting,0.9876859188079834,0.6223627328872681,0.10444323718547821,0.32317678936686994,0.19915442168712616
